Ticker,Date,n_weeks,Use Latest Basic Financials,Information,Response,timestamp
AAPL,2025-12-17,2,false,,,2025-12-17 19:48:09.968887
AAPL,2025-12-17,3,false,,,2025-12-17 19:57:03.780609
AAPL,2025-12-17,2,false,Error,"An error occurred: HTTPSConnectionPool(host='api.finnhub.io', port=443): Read timed out.",2025-12-17 22:54:52.286334
AAPL,2025-12-17,2,false,Error,"An error occurred: HTTPSConnectionPool(host='api.finnhub.io', port=443): Read timed out.",2025-12-18 08:28:10.138470
AAPL,2025-12-18,2,false,,,2025-12-18 21:16:32.361485
